Fingerprint ID,coordinate_X,coordinate_Y,CA:E0:7D:11:26:B3,FF:20:88:3C:97:E7,E1:E9:C3:D9:09:C3
390,-2.0,0.5,-92,-81,0
391,-2.0,0.5,-84,-80,0
392,-2.0,0.5,-84,-85,0
393,-2.0,0.5,-84,-84,0
394,-2.0,0.5,-90,-81,0
395,-2.0,0.5,-84,-90,0
396,-2.0,0.5,-92,-88,0
397,-2.0,0.5,-84,-85,0
398,-2.0,0.5,-92,-90,-88
399,-2.0,0.5,-80,-77,0
401,-1.5,0.5,-90,-82,0
402,-1.5,0.5,-87,-85,0
403,-1.5,0.5,-88,-80,0
404,-1.5,0.5,-87,-87,0
405,-1.5,0.5,-87,-84,0
406,-1.5,0.5,-90,-82,0
407,-1.5,0.5,-88,-86,0
408,-1.5,0.5,-91,-83,0
409,-1.5,0.5,-91,-90,0
410,-1.5,0.5,-86,-83,0
411,-1.0,0.5,-83,-82,0
412,-1.0,0.5,-81,-95,0
413,-1.0,0.5,-83,-83,0
414,-1.0,0.5,-80,-92,0
415,-1.0,0.5,-84,-86,0
416,-1.0,0.5,-80,-82,0
417,-1.0,0.5,-81,-81,0
418,-1.0,0.5,-80,-87,0
419,-1.0,0.5,-82,-83,0
420,-1.0,0.5,-80,-82,0
421,-0.5,0.5,-76,-75,0
422,-0.5,0.5,-77,-82,0
423,-0.5,0.5,-75,-80,0
424,-0.5,0.5,-77,-81,0
425,-0.5,0.5,-76,-82,0
426,-0.5,0.5,-75,-81,0
427,-0.5,0.5,-77,-79,0
428,-0.5,0.5,-76,-75,0
429,-0.5,0.5,-81,-77,0
430,-0.5,0.5,-76,-75,0
431,0.0,0.5,-80,-81,0
432,0.0,0.5,-76,-78,0
433,0.0,0.5,-76,-78,0
434,0.0,0.5,-76,-82,0
435,0.0,0.5,-80,-82,0
436,0.0,0.5,-75,-77,0
437,0.0,0.5,-76,-79,0
438,0.0,0.5,-76,-85,0
439,0.0,0.5,-76,-78,0
440,0.0,0.5,-78,-80,0
441,0.0,0.0,-75,-80,0
442,0.0,0.0,-78,-89,0
443,0.0,0.0,-76,-80,0
444,0.0,0.0,-77,-80,0
445,0.0,0.0,-75,-81,0
446,0.0,0.0,-76,-80,0
447,0.0,0.0,-77,-84,0
448,0.0,0.0,-77,-80,0
449,0.0,0.0,-76,-81,0
450,0.0,0.0,-79,-82,0
451,0.0,-0.5,-74,-75,0
452,0.0,-0.5,-76,-82,0
453,0.0,-0.5,-77,-77,0
454,0.0,-0.5,-77,-78,0
455,0.0,-0.5,-77,-79,0
456,0.0,-0.5,-76,-78,0
457,0.0,-0.5,-77,-78,0
458,0.0,-0.5,-76,-79,0
459,0.0,-0.5,-80,-77,0
460,0.0,-0.5,-76,-78,0
461,0.0,-1.0,-76,-80,0
462,0.0,-1.0,-76,-85,0
463,0.0,-1.0,-75,-85,0
464,0.0,-1.0,-76,-84,0
465,0.0,-1.0,-75,-79,0
466,0.0,-1.0,-76,-80,0
467,0.0,-1.0,-76,-79,0
468,0.0,-1.0,-76,-81,0
469,0.0,-1.0,-77,-79,0
470,0.0,-1.0,-76,-78,0
471,0.0,-1.5,-74,-81,0
472,0.0,-1.5,-78,-80,0
473,0.0,-1.5,-73,-81,0
474,0.0,-1.5,-76,-84,0
475,0.0,-1.5,-79,-84,0
476,0.0,-1.5,-74,-81,0
477,0.0,-1.5,-77,-81,0
478,0.0,-1.5,-78,-80,0
479,0.0,-1.5,-74,-80,0
480,0.0,-1.5,-77,-81,0
481,-0.5,-1.5,-82,-86,0
482,-0.5,-1.5,-82,-81,0
483,-0.5,-1.5,-83,-91,0
484,-0.5,-1.5,-83,-91,-71
485,-0.5,-1.5,-87,-84,0
486,-0.5,-1.5,-84,-83,0
487,-0.5,-1.5,-86,-84,0
488,-0.5,-1.5,-89,-82,0
489,-0.5,-1.5,-84,-91,0
490,-0.5,-1.5,-88,-85,0
491,-1.0,-1.5,-73,-90,0
492,-1.0,-1.5,-72,-82,0
493,-1.0,-1.5,-72,-90,0
494,-1.0,-1.5,-71,-81,0
495,-1.0,-1.5,-72,-82,0
496,-1.0,-1.5,-76,-80,0
497,-1.0,-1.5,-75,-83,0
498,-1.0,-1.5,-74,-90,0
499,-1.0,-1.5,-75,-88,0
500,-1.0,-1.5,-71,-87,0
501,-1.5,-1.5,-78,-88,0
502,-1.5,-1.5,-78,-82,0
503,-1.5,-1.5,-79,-80,0
504,-1.5,-1.5,-79,-84,0
505,-1.5,-1.5,-78,-88,0
506,-1.5,-1.5,-91,-90,0
507,-1.5,-1.5,-78,-88,0
508,-1.5,-1.5,-79,-81,0
509,-1.5,-1.5,-78,-87,0
510,-1.5,-1.5,-84,-91,0
511,-2.0,-1.5,-87,-90,0
512,-2.0,-1.5,-79,-87,0
513,-2.0,-1.5,-82,-90,0
514,-2.0,-1.5,-81,-88,0
515,-2.0,-1.5,-80,-93,0
516,-2.0,-1.5,-80,-88,0
517,-2.0,-1.5,-81,-90,0
518,-2.0,-1.5,-80,-88,0
519,-2.0,-1.5,-81,-87,0
520,-2.0,-1.5,-89,-90,0
