,self_distance_a,self_distance_b,device_a_sample_path,device_b_sample_path,tone_frequency0,tone_frequency1,tone_duration,sampling_rate,sample_filter_type,actual_distance,estimated_distance,absolute_error,relative_error
0,0.04,0.04,data/audio/trial-0-chirp-0.5m-da.wav,data/audio/trial-0-chirp-0.5m-db.wav,2000,6000,0.05,44100,firwin,0.5,0.47353265306121667,0.02646734693878333,5.293469387756666
1,0.04,0.04,data/audio/trial-0-chirp-0.5m-da.wav,data/audio/trial-0-chirp-0.5m-db.wav,2000,6000,0.05,44100,buttord,0.5,0.5236887755102241,0.02368877551022408,4.737755102044816
2,0.04,0.04,data/audio/trial-1-chirp-0.5m-da.wav,data/audio/trial-1-chirp-0.5m-db.wav,2000,6000,0.05,44100,firwin,0.5,0.5043979591836828,0.004397959183682798,0.8795918367365596
3,0.04,0.04,data/audio/trial-1-chirp-0.5m-da.wav,data/audio/trial-1-chirp-0.5m-db.wav,2000,6000,0.05,44100,buttord,0.5,0.5545540816326525,0.05455408163265252,10.910816326530504
4,0.04,0.04,data/audio/trial-2-chirp-0.5m-da.wav,data/audio/trial-2-chirp-0.5m-db.wav,2000,6000,0.05,44100,firwin,0.5,0.43495102040817174,0.06504897959182826,13.009795918365652
5,0.04,0.04,data/audio/trial-2-chirp-0.5m-da.wav,data/audio/trial-2-chirp-0.5m-db.wav,2000,6000,0.05,44100,buttord,0.5,0.43495102040817174,0.06504897959182826,13.009795918365652
6,0.04,0.04,data/audio/trial-0-chirp-1m-da.wav,data/audio/trial-0-chirp-1m-db.wav,2000,6000,0.05,44100,firwin,1.0,0.9982428571428765,0.0017571428571234726,0.17571428571234726
7,0.04,0.04,data/audio/trial-0-chirp-1m-da.wav,data/audio/trial-0-chirp-1m-db.wav,2000,6000,0.05,44100,buttord,1.0,1.1024132653061243,0.10241326530612427,10.241326530612426
8,0.04,0.04,data/audio/trial-1-chirp-1m-da.wav,data/audio/trial-1-chirp-1m-db.wav,2000,6000,0.05,44100,firwin,1.0,0.9558030612244857,0.04419693877551434,4.419693877551434
9,0.04,0.04,data/audio/trial-1-chirp-1m-da.wav,data/audio/trial-1-chirp-1m-db.wav,2000,6000,0.05,44100,buttord,1.0,0.9596612244897939,0.04033877551020615,4.033877551020614
10,0.04,0.04,data/audio/trial-2-chirp-1m-da.wav,data/audio/trial-2-chirp-1m-db.wav,2000,6000,0.05,44100,firwin,1.0,0.9982428571428388,0.0017571428571612202,0.17571428571612202
11,0.04,0.04,data/audio/trial-2-chirp-1m-da.wav,data/audio/trial-2-chirp-1m-db.wav,2000,6000,0.05,44100,buttord,1.0,0.9982428571428388,0.0017571428571612202,0.17571428571612202
