,k,weights,mae,rmse,sd,p50,p75,p90,p95,min,max
0,1,uniform,2.575783805752476,2.8653970056520963,1.2559519103948635,2.0,2.0,4.0,6.0,1.5811388300841898,10.0
1,1,distance,2.575783805752476,2.8653970056520963,1.2559519103948635,2.0,2.000000000000001,4.0,6.0,1.581138830084188,10.0
2,2,uniform,2.2724628059014096,2.6160800828720823,1.2967147971160724,2.0,3.0,4.0,4.0,0.0,8.0
3,2,distance,2.2819698077431982,2.617649118585113,1.283100561775864,2.0,2.8493670459604514,4.0,4.294591084899981,0.000798526607050043,8.000000000000004
4,3,uniform,2.2582844444356494,2.5390615064100617,1.1611774344981503,2.0,2.666666666666667,4.0,4.666666666666664,0.0,8.0
5,3,distance,2.2516622570924154,2.535540200230993,1.1663367989141973,2.0,2.6569711053283447,4.0,4.641937243144662,0.006814796558277436,8.100791730848435
6,4,uniform,2.239678914734721,2.514750236106958,1.1441661702383186,2.0,3.0,4.0,4.0,0.0,8.0
7,4,distance,2.23430376737086,2.5071651051378905,1.1380064139237578,2.0,2.823597239980664,4.0,4.160593979651455,0.0008369368636653718,8.0
8,5,uniform,2.220394473691787,2.493391264924139,1.1349610203512375,2.0,2.8,4.0,4.0,0.0,7.199999999999999
9,5,distance,2.211859360805636,2.484361827976535,1.1318183923212173,2.0,2.757628619186987,3.9002395305445097,4.0622676635156125,0.04218714427928205,7.200645551409401
10,6,uniform,2.1845214721833806,2.4623836689950083,1.136878077308976,2.0,2.666666666666667,3.666666666666668,4.333333333333332,0.0,7.0
11,6,distance,2.179390277883021,2.453675217167993,1.1278528894113475,2.0,2.685709064187651,3.7000647098321124,4.253654953154063,2.3265784030002123e-05,6.44132628663503
12,7,uniform,2.1797712470047133,2.4567233861219218,1.1337426864721167,2.0,2.8571428571428568,3.7142857142857153,4.285714285714285,0.0,7.142857142857142
13,7,distance,2.170971188475187,2.446688299808181,1.1289119440444813,2.0,2.742942278810685,3.7319895623835464,4.211158787565188,0.0036328550747057875,6.867153173132937
14,8,uniform,2.163323269346244,2.4406726147724114,1.1305721729475398,2.0,2.75,3.75,4.25,0.0,7.0
15,8,distance,2.1608770592152355,2.4324407094245304,1.1174196913378673,2.0,2.73571714656983,3.7578247671237803,4.180547573109628,0.00018677690635904298,7.00253959903516
16,9,uniform,2.132357117231193,2.4252033133556252,1.1558547642072092,2.0,2.8888888888888857,3.7777777777777786,4.222222222222221,0.0,7.111111111111111
17,9,distance,2.1337390573870336,2.4177007232003627,1.1374217116332663,2.0,2.7622000578654013,3.7830612456279007,4.208192808379503,0.0011772376034331344,7.1077476668604405
18,10,uniform,2.12431893770797,2.4216409725638557,1.163171104314933,2.0,2.8000000000000007,3.799999999999997,4.199999999999999,0.0,6.600000000000001
19,10,distance,2.12648383862958,2.413330921106184,1.141725078540986,2.0,2.7928204782602677,3.7859274903646645,4.204274026903051,0.002502057973863714,6.625628629481604
20,11,uniform,2.1140445668786523,2.41395135763437,1.1659056832943129,2.0,2.7272727272727275,3.6363636363636367,4.181818181818183,0.0,6.90909090909091
21,11,distance,2.1124842614342936,2.4055483533944724,1.1512595381735191,2.0,2.77441651066944,3.6747971148461773,4.221660626184211,0.00517626822145445,6.915200205202908
22,12,uniform,2.1088984669516893,2.4127475405529744,1.1727204371703526,2.0,2.833333333333332,3.666666666666667,4.166666666666668,0.0,7.0
23,12,distance,2.1071366346154585,2.4043532930425666,1.158547449619173,2.0,2.815042609455515,3.6753998378648896,4.183636819920748,0.003496933265026314,6.9996517576004
24,13,uniform,2.0940067891419702,2.398906308985397,1.1710073887990267,2.0,2.76923076923077,3.6923076923076916,4.153846153846153,0.0,7.076923076923077
25,13,distance,2.089838875990424,2.390984460113701,1.1622094870530408,2.0,2.778293584950793,3.641760679979634,4.189119975300199,0.002460058201238624,7.071860361190584
26,14,uniform,2.0889655732897663,2.3939341925724156,1.169834289222945,2.0,2.7226922879168343,3.7142857142857135,4.285714285714285,0.0,7.285714285714285
27,14,distance,2.083409575720156,2.384772701787638,1.1609880586213388,2.0,2.7808843087284387,3.6438228406988085,4.214261928533254,0.0014217657901127723,7.263486679958696
28,15,uniform,2.086776270556143,2.3876348129477445,1.1608239784535652,2.0,2.799999999999997,3.6000000000000014,4.139999999999994,0.0,7.466666666666665
29,15,distance,2.0786534838225714,2.3774759172946305,1.1545234323581757,2.0,2.745414212603845,3.631982652674322,4.193252342183479,0.0012979700117377035,7.4307911347842825
30,16,uniform,2.0908830562938356,2.3919898064947938,1.1624002984050215,2.0,2.75,3.625,4.25,0.0,7.625
31,16,distance,2.079157537778588,2.3785532432375653,1.155835377306759,2.0,2.741545220124255,3.614315102059093,4.176095752853666,0.0031533197023598802,7.5779960023659925
32,17,uniform,2.088982559431947,2.3887926761916813,1.1592351540384171,2.0,2.7058823529411775,3.647058823529413,4.117647058823529,0.0,7.2941176470588225
33,17,distance,2.0757071211667104,2.373845188976557,1.152349268755855,2.0,2.751959227780368,3.6311043915982486,4.131763559462541,0.002350422022416865,7.275867707114074
34,18,uniform,2.0931287509840106,2.3960831592774112,1.1667852955462115,2.0,2.888888888888889,3.666666666666667,4.111111111111111,0.0,7.111111111111111
35,18,distance,2.0773432302025654,2.3776122234750723,1.1571620513838217,2.0,2.774436782103699,3.6200013316690516,4.134501802022202,0.003264843870169898,7.108615270399277
36,19,uniform,2.0930140409320344,2.3978657985407814,1.1706506888514208,2.0,2.8421052631578947,3.684210526315791,4.210526315789473,0.0,6.842105263157894
37,19,distance,2.0762493450083586,2.3772935364838745,1.1584710921000951,2.0,2.7690578468251665,3.6466876204058054,4.179433213530923,0.0021975764167159184,6.8607389331755115
38,20,uniform,2.0990206661078026,2.4073302120814253,1.179297136004053,2.0,2.8999999999999986,3.6999999999999993,4.199999999999999,0.0,6.899999999999999
39,20,distance,2.079515521821637,2.382450884646338,1.1632026705212228,2.0000000000000004,2.8070392895616494,3.6507472879592617,4.0915134613147845,0.0055049480928950345,6.913347007737894
40,21,uniform,2.0959136136220984,2.409717195326299,1.189663138904817,2.0,2.9523809523809526,3.7142857142857153,4.19047619047619,0.0,6.857142857142858
41,21,distance,2.0752768286928367,2.3821963907395474,1.170237233866127,2.0000000000000004,2.820563698758805,3.6544207792209336,4.163439987174238,0.004447410043201927,6.784985757840168
42,22,uniform,2.0954436111216133,2.4123511387293815,1.1958194149668857,2.0,2.909090909090909,3.7272727272727266,4.181818181818183,0.0,6.90909090909091
43,22,distance,2.0747436951601657,2.3830150321821733,1.172849017485697,2.0000000000000036,2.8264632401681298,3.6477595138874355,4.114993677634154,0.0012768533283775696,6.920269951384828
44,23,uniform,2.0951428271079733,2.4145496670223956,1.2007782880419757,2.0,2.9565217391304346,3.7391304347826093,4.173913043478262,0.0,6.869565217391305
45,23,distance,2.0744250143967053,2.3836452122497107,1.174693688920222,2.0,2.85551488548662,3.6491248613432097,4.127989556187572,0.0010682572452545003,6.803533903160815
46,24,uniform,2.0892082518059434,2.4161901469853073,1.2143551232403946,2.0,2.921413123075357,3.675852162699811,4.166666666666668,0.0,7.0
47,24,distance,2.069855851704013,2.3838735602403505,1.1831947659763764,2.0,2.8422109531678252,3.6314769219178755,4.144237280938468,0.003363124392918415,6.619185813672686
48,25,uniform,2.0823960881701513,2.4159153958696504,1.225469504916842,2.0,2.960000000000001,3.6799999999999997,4.16,0.0,6.960000000000001
49,25,distance,2.0640867316303337,2.3825894677890656,1.1906704970559816,2.0,2.8694893121486964,3.649748463864504,4.112247385191659,0.0008924782745225457,6.5233365691478475
50,26,uniform,2.0814302602748542,2.4214955156977656,1.238071656077354,2.0,2.927114352867031,3.7692307692307665,4.23076923076923,0.0,6.846153846153847
51,26,distance,2.0625873465654427,2.386598269176724,1.2012609058774253,1.9999999999999982,2.8532753105175312,3.6375511853588893,4.134203565311011,0.0032088798468903335,6.575454372867586
52,27,uniform,2.0836715410481883,2.4279591423061073,1.2469375923007464,2.0,2.962962962962963,3.711111111111112,4.222222222222221,0.0,6.888888888888889
53,27,distance,2.063728700159742,2.3907123471193445,1.207471476338901,1.9999999999999982,2.8746909652419457,3.6915003048982573,4.130302154530501,0.0008756245948511321,6.4878867754637
54,28,uniform,2.088186817777855,2.4350145622495467,1.2531329037658594,2.00063755186585,3.0,3.7142857142857153,4.214285714285715,0.0,6.785714285714285
55,28,distance,2.067044824323264,2.3949974083342713,1.2102904953975018,2.0010479901073177,2.884395615541954,3.6866613482581214,4.123262029363363,0.0029662760617297224,6.406294006263241
56,29,uniform,2.0874203556483364,2.440420374696105,1.2648825209673378,2.0,3.0344827586206895,3.7310344827586235,4.206896551724139,0.0,6.827586206896552
57,29,distance,2.066186503519328,2.3982370642160187,1.2181536221270035,2.0007793259568722,2.9071382765563993,3.693308004910752,4.149629307039543,0.0007590908133714436,6.520196322778837
58,30,uniform,2.0904723408963393,2.4495825041105355,1.2775021910901276,2.0,3.0,3.7333333333333343,4.20333333333333,0.0,6.866666666666667
59,30,distance,2.0679497101353164,2.404719856899253,1.227912601072525,2.0000000000000018,2.9266820409328496,3.6730387761435015,4.145616801657045,0.0021665883891905935,6.626828840029628
